team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SEA,2021,SEA,2021020892,SEA,CAR,AWAY,20220306,Team Level,5on4,0.862,0.7778,0.75,249,4.524,0.706,0.271,0.941,0.135,2.516,1.432,0.699,0.706,0.699,5,1,1,7,1,1,1,1,1,1,1,4,5,0,0,3,0,0,2,5,0,1,0.035,0,0.67,0,0,1,7,6,6,0,0.076,0.67,0.67,0.111,0.111,0.111,1.425,0.113,0.061,0.18,0.045,0.466,1.136,0.113,0.113,0.113,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,2,0,3,0,1,1,0,0.026,0.088,0,0,0,0,2,2,2,0,0.014,0,0,0.127,0.127,0.127
SEA,2021,SEA,2021020902,SEA,TOR,AWAY,20220308,Team Level,other,0.0199,0.1667,0.25,298,0.689,0.016,0.034,0.182,0.023,0.351,0.394,0.016,0.016,0.016,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0.016,0,0,0,0,0,1,1,1,0,0.008,0,0,0.024,0.024,0.024,2.145,0.79,0.059,0.385,0.054,0.812,0.9,0.79,0.79,0.79,3,0,2,5,1,0,0,1,0,1,0,2,2,0,0,5,1,0,2,2,0,1,0.028,0,0.762,0,0,1,5,3,3,2,0.014,0,0,0.804,0.804,0.804
SEA,2021,SEA,2021020902,SEA,TOR,AWAY,20220308,Team Level,all,0.2716,0.4352,0.4186,3600,25.066,1.659,1.783,5.638,0.85,14.754,11.315,1.653,1.692,1.686,30,6,11,47,4,0,0,8,2,7,15,26,32,7,14,27,25,8,13,28,7,1,0.714,0.709,0.237,1,2,1,46.71,36,35.692,7,0.387,0,0,2.046,2.084,2.077,36.972,4.449,2.773,7.787,1.106,20.061,13.824,4.366,4.408,4.325,32,18,11,61,6,3,0,7,4,11,19,26,44,3,6,34,21,4,13,31,15,4,1.023,1.827,1.598,2,3,1,61.177,50,50.48,8,0.624,0.836,0.836,4.236,4.184,4.155
SEA,2021,SEA,2021020902,SEA,TOR,AWAY,20220308,Team Level,5on5,0.3573,0.4568,0.4375,2766,19.356,1.358,1.353,4.354,0.657,11.305,8.975,1.352,1.391,1.385,24,4,9,37,3,0,0,6,2,5,12,21,25,5,10,19,24,6,12,21,7,0,0.649,0.709,0,1,2,0,36.71,28,27.692,7,0.28,0,0,1.638,1.676,1.669,26.508,2.443,1.985,5.867,0.783,14.917,10.006,2.385,2.402,2.343,20,16,8,44,2,1,0,6,4,9,14,18,34,3,6,25,19,4,9,24,11,1,0.782,1.389,0.271,0,2,0,44.177,36,36.48,5,0.415,0.271,0.271,2.586,2.534,2.508
SEA,2021,SEA,2021020902,SEA,TOR,AWAY,20220308,Team Level,4on5,0.1638,0.1538,0.0909,293,0.879,0.237,0.043,0.086,0.024,0.223,0.388,0.237,0.237,0.237,1,0,1,2,1,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,0.237,0,0,1,2,1,1,0,0.01,0,0,0.246,0.246,0.246,7.458,1.21,0.722,1.498,0.254,4.155,2.161,1.185,1.21,1.185,8,2,1,11,3,2,0,0,0,1,4,5,7,0,0,2,0,0,1,4,4,2,0.207,0.438,0.565,2,1,0,11,10,10,0,0.193,0.565,0.565,0.838,0.838,0.835
SEA,2021,SEA,2021020902,SEA,TOR,AWAY,20220308,Team Level,5on4,0.8889,0.875,0.8571,243,4.142,0.048,0.353,1.017,0.147,2.876,1.559,0.048,0.048,0.048,4,2,1,7,0,0,0,1,0,2,3,4,6,1,2,2,1,2,0,6,0,0,0.048,0,0,0,0,0,7,6,6,0,0.089,0,0,0.138,0.138,0.137,0.861,0.006,0.007,0.037,0.015,0.177,0.758,0.006,0.006,0.006,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,1,0,1,1,0,0,0.006,0,0,0,0,0,1,1,1,1,0.002,0,0,0.008,0.008,0.008
SEA,2021,SEA,2021020918,SEA,OTT,AWAY,20220310,Team Level,other,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.702,0.121,0.045,0.13,0.024,0.468,0.21,0.121,0.121,0.121,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.121,0,0,1,0,1,1,1,0,0.013,0,0,0.135,0.135,0.135
SEA,2021,SEA,2021020918,SEA,OTT,AWAY,20220310,Team Level,all,0.4771,0.5566,0.5256,3754,28.684,2.437,2.151,6.991,1.061,16.596,11.765,2.386,2.45,2.398,33,8,18,59,3,2,0,8,1,10,17,30,38,2,4,29,21,3,8,30,10,1,0.964,1.225,0.248,2,1,0,57.678,41,40.4,5,0.456,0.309,0.309,2.584,2.585,2.531,26.924,2.671,1.809,5.796,0.87,14.645,11.208,2.658,2.69,2.676,27,10,10,47,4,0,0,7,1,13,12,23,33,1,2,29,29,3,12,23,12,2,0.622,1.518,0.531,0,3,1,49.974,37,38.267,7,0.384,0,0,3.055,3.077,3.059
SEA,2021,SEA,2021020918,SEA,OTT,AWAY,20220310,Team Level,5on5,0.4634,0.5319,0.5139,3359,26.174,2.158,1.868,6.511,0.94,14.931,10.593,2.107,2.171,2.119,30,7,13,50,3,2,0,7,1,9,15,27,34,1,2,26,17,2,7,27,10,0,0.933,1.225,0,2,1,0,48.678,37,36.4,5,0.386,0.309,0.309,2.235,2.236,2.182,25.502,2.499,1.714,5.51,0.823,13.87,10.584,2.485,2.517,2.503,25,10,9,44,3,0,0,7,1,13,11,22,32,1,2,25,29,3,9,22,11,2,0.571,1.396,0.531,0,2,1,46.974,35,36.267,6,0.358,0,0,2.857,2.879,2.861
SEA,2021,SEA,2021020918,SEA,OTT,AWAY,20220310,Team Level,4on5,0.8294,0.3333,0.5,275,0.867,0.248,0.055,0.08,0.023,0.194,0.4,0.248,0.248,0.248,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0,1,0,0,0.248,0,0,0,1,1,1,0,0.012,0,0,0.261,0.261,0.261,0.719,0.051,0.05,0.155,0.023,0.307,0.414,0.051,0.051,0.051,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,2,1,0,0,0.051,0,0,0,0,0,2,1,1,0,0.012,0,0,0.063,0.063,0.063
SEA,2021,SEA,2021020918,SEA,OTT,AWAY,20220310,Team Level,5on4,1,1,1,120,1.643,0.031,0.229,0.4,0.097,1.471,0.772,0.031,0.031,0.031,2,1,4,7,0,0,0,1,0,1,1,2,3,0,0,1,0,0,1,3,0,0,0.031,0,0,0,0,0,7,3,3,0,0.057,0,0,0.088,0.088,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SEA,2021,SEA,2021020933,SEA,MTL,AWAY,20220312,Team Level,other,0.2039,0.4167,0.3333,35,2.263,0.074,0.089,0.59,0.07,0.939,1.237,0.074,0.074,0.074,3,0,2,5,0,0,0,0,0,1,2,3,3,0,0,4,0,1,2,3,0,0,0.074,0,0,0,0,0,5,3,3,1,0.026,0,0,0.1,0.1,0.1,4.626,0.289,0.225,1.353,0.157,2.036,1.939,0.286,0.289,0.286,6,0,1,7,0,0,0,4,0,0,2,6,6,0,0,2,0,1,1,5,1,0,0.134,0.155,0,0,0,0,7,6,6,1,0.057,0,0,0.346,0.346,0.342
SEA,2021,SEA,2021020933,SEA,MTL,AWAY,20220312,Team Level,all,0.4363,0.5,0.5116,3900,32.123,1.995,2.116,8.679,1.065,17.122,13.023,1.939,2.118,2.058,35,9,11,55,3,4,2,7,0,13,17,32,41,5,10,30,16,11,22,38,4,2,0.93,0.432,0.633,1,1,1,58.222,44,46.489,17,0.482,0.181,0.181,2.296,2.43,2.37,30.123,2.578,2.01,7.849,1.053,16.658,11.853,2.547,2.468,2.439,33,9,13,55,3,4,1,11,1,8,15,30,39,3,6,38,34,9,29,33,7,2,1.216,0.872,0.49,2,1,0,52.188,42,39.984,22,0.44,0.455,0.455,2.563,2.458,2.437
SEA,2021,SEA,2021020933,SEA,MTL,AWAY,20220312,Team Level,5on5,0.4832,0.4865,0.5088,3033,20.959,1.408,1.18,5.861,0.707,11.455,8.388,1.363,1.531,1.481,23,6,7,36,1,1,1,6,0,8,13,22,28,5,10,19,12,9,15,24,4,1,0.691,0.432,0.286,0,1,0,39.222,29,31.489,12,0.246,0.106,0.106,1.548,1.681,1.635,19.327,1.506,1.249,5.23,0.69,11.363,7.962,1.485,1.397,1.377,22,6,10,38,3,3,1,7,1,8,6,19,25,3,6,24,31,7,24,23,4,1,0.867,0.431,0.209,2,1,0,35.188,28,25.984,19,0.256,0.297,0.297,1.466,1.36,1.345
SEA,2021,SEA,2021020933,SEA,MTL,AWAY,20220312,Team Level,4on5,0.1005,0.25,0.3,597,1.986,0.056,0.075,0.32,0.058,0.783,1.708,0.056,0.056,0.056,3,0,0,3,1,1,1,0,0,0,1,2,2,0,0,5,4,1,4,3,0,0,0.056,0,0,1,0,0,3,3,3,4,0.017,0.031,0.031,0.042,0.042,0.042,5.242,0.501,0.478,1.19,0.184,3.048,1.6,0.495,0.501,0.495,4,3,2,9,0,1,0,0,0,0,6,4,7,0,0,8,0,1,2,5,2,0,0.215,0.286,0,0,0,0,9,7,7,0,0.114,0.158,0.158,0.457,0.457,0.456
SEA,2021,SEA,2021020933,SEA,MTL,AWAY,20220312,Team Level,5on4,0.6192,0.9167,0.9,235,6.915,0.457,0.772,1.908,0.23,3.945,1.689,0.446,0.457,0.446,6,3,2,11,1,2,0,1,0,4,1,5,8,0,0,2,0,0,1,8,0,1,0.109,0,0.348,0,0,1,11,9,9,0,0.193,0.044,0.044,0.606,0.606,0.593,0.928,0.281,0.058,0.076,0.022,0.211,0.352,0.281,0.281,0.281,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,3,0,2,0,0,1,0,0,0.281,0,0,0,1,1,1,2,0.013,0,0,0.295,0.295,0.295
SEA,2021,SEA,2021020967,SEA,TBL,HOME,20220316,Team Level,other,0,0.25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.452,0.082,0.091,0.281,0.039,0.729,0.778,0.082,0.082,0.082,2,0,1,3,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,2,0,0,0.082,0,0,0,0,0,3,2,2,0,0.023,0,0,0.105,0.105,0.105
SEA,2021,SEA,2021020967,SEA,TBL,HOME,20220316,Team Level,all,0.367,0.3739,0.3778,3600,24.463,2.305,1.682,5.839,0.85,14.008,9.316,2.148,2.207,2.057,25,9,9,43,1,4,0,8,0,6,15,24,33,6,12,26,9,4,7,23,8,3,0.726,0.756,0.823,0,1,0,40.86,34,32.446,5,0.367,0.661,0.661,2.011,1.927,1.886,40.813,3.975,2.816,9.245,1.333,22.625,16.005,3.738,4.191,3.941,42,14,16,72,4,4,0,11,2,13,22,38,52,5,10,28,15,7,7,42,10,4,0.98,1.312,1.683,0,2,2,76.067,56,58.922,4,0.637,1.151,1.151,3.461,3.646,3.578
SEA,2021,SEA,2021020967,SEA,TBL,HOME,20220316,Team Level,5on5,0.3562,0.3793,0.3881,2618,18.4,1.604,1.264,4.428,0.665,10.856,7.184,1.464,1.505,1.372,19,7,7,33,0,4,0,6,0,5,11,19,26,6,12,18,8,2,5,19,5,2,0.524,0.46,0.62,0,0,0,30.86,26,24.446,4,0.26,0.661,0.661,1.203,1.119,1.097,29.955,2.899,1.927,6.853,0.97,16.097,12.254,2.672,3.115,2.875,30,11,13,54,2,3,0,10,1,12,13,28,39,3,6,17,14,6,7,30,9,2,0.816,1.217,0.866,0,2,0,58.067,41,43.922,4,0.397,1.057,1.057,2.239,2.424,2.383
SEA,2021,SEA,2021020967,SEA,TBL,HOME,20220316,Team Level,4on5,0.0719,0.0625,0.0714,491,0.763,0.077,0.046,0.069,0.018,0.244,0.547,0.077,0.077,0.077,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,1,0,0,0.077,0,0,0,0,0,1,1,1,0,0.01,0,0,0.087,0.087,0.087,9.406,0.994,0.799,2.111,0.324,5.799,2.973,0.984,0.994,0.984,10,3,2,15,2,1,0,0,1,1,8,8,11,1,2,6,0,0,0,10,1,2,0.082,0.095,0.818,0,0,2,15,13,13,0,0.217,0.095,0.095,1.117,1.117,1.09
SEA,2021,SEA,2021020967,SEA,TBL,HOME,20220316,Team Level,5on4,1,1,1,391,5.3,0.624,0.372,1.342,0.168,2.908,1.585,0.608,0.624,0.608,6,1,1,8,1,0,0,2,0,1,3,5,6,0,0,5,0,0,0,3,3,1,0.126,0.296,0.203,0,1,0,8,7,7,0,0.096,0,0,0.721,0.721,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021020993,SEA,DET,HOME,20220319,Team Level,other,0.8778,0.625,0.5714,163,2.438,1.106,0.223,0.286,0.084,1.596,0.705,1.1,1.106,1.1,2,2,1,5,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,1,1,2,0.054,0.123,0.93,0,0,1,5,4,4,0,0.07,0,0,1.176,1.176,1.166,2.005,0.154,0.173,0.352,0.066,1.695,0.561,0.146,0.154,0.146,1,2,0,3,0,0,0,0,0,3,0,1,3,0,0,1,0,0,0,3,0,0,0.154,0,0,0,0,0,3,3,3,0,0.057,0,0,0.21,0.21,0.2
SEA,2021,SEA,2021020993,SEA,DET,HOME,20220319,Team Level,all,0.657,0.6389,0.6437,3600,39.029,4.783,3.151,8.32,1.248,22.939,15.559,4.719,4.602,4.542,42,14,13,69,4,1,0,15,1,14,21,38,52,2,7,31,20,8,5,33,18,5,0.94,2.158,1.685,1,2,1,66.574,56,54.059,3,0.706,0.337,0.337,5.151,4.957,4.914,22.143,2.497,1.231,5.047,0.716,11.963,9.547,2.48,2.558,2.54,23,8,8,39,2,1,1,6,3,9,10,21,29,6,15,33,11,8,4,23,5,3,0.519,0.566,1.412,0,1,1,41.062,31,32.229,2,0.279,0.948,0.948,1.827,1.9,1.889
SEA,2021,SEA,2021020993,SEA,DET,HOME,20220319,Team Level,5on5,0.7505,0.6322,0.6471,2941,30.887,3.105,2.344,6.952,1.011,18.097,12.49,3.051,2.924,2.873,33,11,11,55,3,1,0,11,1,12,16,30,41,2,7,25,18,7,5,28,13,3,0.765,1.585,0.756,1,2,0,52.574,44,42.059,3,0.491,0.337,0.337,3.259,3.065,3.035,17.103,1.032,0.891,4.407,0.569,9.25,7.852,1.032,1.093,1.093,18,6,8,32,1,0,0,6,3,6,8,17,23,5,13,26,11,6,4,19,4,1,0.355,0.454,0.223,0,1,0,34.062,24,25.229,2,0.181,0,0,1.213,1.286,1.285
SEA,2021,SEA,2021020993,SEA,DET,HOME,20220319,Team Level,4on5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435,0.958,0.069,0.107,0.046,0.574,0.246,0.949,0.958,0.949,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.01,0,0.948,0,0,1,2,2,2,0,0.02,0.948,0.948,0.03,0.03,0.03
SEA,2021,SEA,2021020993,SEA,DET,HOME,20220319,Team Level,5on4,0.618,0.8182,0.8,476,5.704,0.571,0.584,1.082,0.153,3.247,2.364,0.569,0.571,0.569,7,1,1,9,0,0,0,4,0,1,3,7,8,0,0,5,1,1,0,4,4,0,0.121,0.45,0,0,0,0,9,8,8,0,0.145,0,0,0.716,0.716,0.713,1.6,0.353,0.098,0.181,0.035,0.445,0.888,0.353,0.353,0.353,2,0,0,2,0,0,0,0,0,0,2,2,2,1,2,6,0,2,0,0,1,1,0,0.112,0.24,0,0,0,2,2,2,0,0.022,0,0,0.374,0.374,0.374
SEA,2021,SEA,2021021017,SEA,ARI,AWAY,20220322,Team Level,other,0.8557,0.25,0.3333,133,0.445,0.332,0.023,0.018,0.021,0.333,0.274,0.322,0.332,0.322,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.332,0,0,0,1,1,1,0,0.007,0,0,0.339,0.339,0.328,1.329,0.056,0.123,0.24,0.041,1.133,0.407,0.056,0.056,0.056,2,0,1,3,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0.056,0,0,0,0,0,3,2,2,0,0.031,0,0,0.087,0.087,0.087
SEA,2021,SEA,2021021017,SEA,ARI,AWAY,20220322,Team Level,all,0.4827,0.5739,0.6044,3600,38.465,2.614,2.718,9.342,1.256,23.161,15.909,2.587,2.737,2.709,39,16,11,66,4,1,0,11,1,16,22,35,51,3,6,29,24,9,5,45,7,3,1.017,0.698,0.899,3,0,1,68.846,55,57.364,0,0.587,0.096,0.096,3.106,3.252,3.221,25.378,2.801,2.14,5.436,0.883,14.905,9.836,2.665,2.726,2.595,26,10,13,49,2,2,0,4,0,14,14,24,34,3,6,23,25,6,12,24,8,4,0.8,0.917,1.084,0,2,0,47.231,36,35.111,5,0.474,0.611,0.611,2.664,2.587,2.5
SEA,2021,SEA,2021021017,SEA,ARI,AWAY,20220322,Team Level,5on5,0.5061,0.6,0.6324,2767,30.61,1.816,2.094,7.794,0.993,17.755,12.548,1.798,1.939,1.92,32,11,11,54,3,1,0,9,0,14,16,29,40,3,6,23,24,9,5,35,7,1,0.895,0.698,0.223,3,0,0,56.846,43,45.364,0,0.428,0.096,0.096,2.148,2.294,2.274,18.652,1.772,1.438,4.154,0.587,9.759,7.289,1.668,1.698,1.598,19,6,11,36,1,1,0,3,0,10,10,18,24,3,6,17,24,6,9,19,3,3,0.617,0.425,0.73,0,1,0,34.231,25,24.111,4,0.302,0.257,0.257,1.818,1.741,1.664
SEA,2021,SEA,2021021017,SEA,ARI,AWAY,20220322,Team Level,4on5,0.0563,0.0909,0.1,346,0.685,0.058,0.043,0.068,0.013,0.252,0.566,0.058,0.058,0.058,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0.058,0,0,0,0,0,1,1,1,0,0.009,0,0,0.067,0.067,0.067,5.397,0.972,0.578,1.043,0.255,4.013,2.14,0.942,0.972,0.942,5,4,1,10,1,1,0,0,0,3,4,4,8,0,0,2,0,0,3,3,5,1,0.127,0.491,0.354,0,1,0,10,9,9,1,0.141,0.354,0.354,0.759,0.759,0.749
SEA,2021,SEA,2021021017,SEA,ARI,AWAY,20220322,Team Level,5on4,1,1,1,354,6.724,0.408,0.559,1.462,0.228,4.822,2.521,0.408,0.408,0.408,6,4,0,10,1,0,0,2,1,2,4,5,9,0,0,2,0,0,0,9,0,1,0.064,0,0.344,0,0,1,10,10,10,0,0.144,0,0,0.552,0.552,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021021044,SEA,LAK,AWAY,20220326,Team Level,other,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345,0.586,0.089,0.274,0.09,0.63,0.331,0.538,0.586,0.538,1,1,0,2,1,1,1,0,0,0,0,0,1,0,0,3,1,0,0,0,1,1,0,0.097,0.488,0,0,1,2,2,2,0,0.032,0.488,0.488,0.129,0.129,0.128
SEA,2021,SEA,2021021044,SEA,LAK,AWAY,20220326,Team Level,all,0.3718,0.4476,0.439,3600,26.609,2.455,1.814,6.286,0.828,14.222,10.394,2.399,2.435,2.379,25,11,11,47,2,4,1,6,1,10,13,23,34,3,6,16,36,4,8,24,9,3,0.631,1.11,0.714,1,0,1,45.123,36,34.988,6,0.38,0.862,0.862,1.974,1.965,1.949,33.422,4.148,2.413,7.951,1.164,17.535,12.789,3.95,4.151,3.952,27,19,12,58,4,6,1,3,1,16,16,23,42,2,4,29,27,3,10,27,14,5,0.987,1.728,1.433,1,1,2,60.174,46,46.871,8,0.529,1.133,1.133,3.544,3.54,3.455
SEA,2021,SEA,2021021044,SEA,LAK,AWAY,20220326,Team Level,5on5,0.4394,0.4737,0.473,3220,25.94,2.443,1.732,6.151,0.802,13.7,10.172,2.386,2.423,2.367,25,10,10,45,2,4,1,6,1,9,13,23,33,2,4,16,35,4,8,23,9,3,0.619,1.11,0.714,1,0,1,43.123,35,33.988,6,0.361,0.862,0.862,1.943,1.934,1.918,28.616,3.117,2.027,7.055,0.963,14.976,10.862,2.995,3.121,2.998,23,16,11,50,3,5,0,3,1,14,13,20,36,2,4,24,24,3,9,25,10,4,0.865,1.308,0.945,1,1,1,52.174,39,39.871,7,0.426,0.644,0.644,2.899,2.895,2.845
SEA,2021,SEA,2021021044,SEA,LAK,AWAY,20220326,Team Level,4on5,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.736,0.359,0.234,0.529,0.094,1.677,1.107,0.331,0.359,0.331,3,1,1,5,0,0,0,0,0,2,2,3,4,0,0,1,0,0,0,2,2,0,0.122,0.237,0,0,0,0,5,4,4,0,0.058,0,0,0.417,0.417,0.384
SEA,2021,SEA,2021021044,SEA,LAK,AWAY,20220326,Team Level,5on4,0.1224,0.6667,0.5,120,0.668,0.012,0.081,0.135,0.027,0.522,0.222,0.012,0.012,0.012,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.012,0,0,0,0,0,2,1,1,0,0.019,0,0,0.031,0.031,0.031,0.725,0.086,0.063,0.093,0.017,0.251,0.49,0.086,0.086,0.086,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,1,0,0,0.086,0,0,0,0,1,1,1,1,0.013,0,0,0.099,0.099,0.099
SEA,2021,SEA,2021021058,SEA,LAK,AWAY,20220328,Team Level,other,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021021058,SEA,LAK,AWAY,20220328,Team Level,all,0.4515,0.5,0.4896,3600,34.514,2.816,2.407,7.985,1.067,18.395,14.33,2.702,3.122,2.996,38,9,12,59,6,5,1,7,2,12,15,32,41,2,7,39,25,5,7,35,8,4,0.947,0.931,0.939,3,2,1,66.227,47,51.976,7,0.524,0.892,0.892,2.448,2.716,2.648,35.02,3.421,2.362,8.313,1.186,19.994,13.724,3.248,3.111,2.955,37,12,10,59,1,2,0,11,0,13,22,36,48,2,7,34,34,4,11,32,15,2,0.862,1.874,0.685,0,1,0,52.74,49,44.116,10,0.503,0.685,0.685,3.239,2.943,2.864
SEA,2021,SEA,2021021058,SEA,LAK,AWAY,20220328,Team Level,5on5,0.4532,0.4727,0.4607,3407,29.764,2.745,1.979,6.68,0.919,16.06,12.617,2.632,3.05,2.926,32,9,11,52,6,4,1,5,2,12,12,26,35,2,7,35,25,4,7,29,8,4,0.875,0.931,0.939,3,2,1,59.227,41,45.976,7,0.413,0.871,0.871,2.286,2.554,2.488,34.24,3.312,2.308,8.198,1.163,19.522,13.497,3.139,3.002,2.846,36,12,10,58,0,2,0,11,0,13,22,36,48,2,7,33,33,4,11,32,14,2,0.862,1.765,0.685,0,0,0,51.74,48,43.116,10,0.49,0.685,0.685,3.118,2.822,2.742
SEA,2021,SEA,2021021058,SEA,LAK,AWAY,20220328,Team Level,4on5,0.0603,0.5,0.5,54,0.852,0.007,0.007,0.042,0.015,0.184,0.746,0.007,0.007,0.007,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0.007,0,0,0,0,0,1,1,1,0,0.002,0,0,0.009,0.009,0.009,0.781,0.109,0.054,0.115,0.023,0.472,0.227,0.109,0.109,0.109,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109,0,0,1,0,1,1,1,0,0.012,0,0,0.121,0.121,0.121
