Column1,name,primary,logo,team_abbr,team_nick,division,conference,team_logo_espn,team_color1,team_color2,team_logo_alternate,team_color_alt1,team_color_alt2,status
21,Ottawa Senators,#010101,http://content.sportslogos.net/logos/1/21/thumbs/2bkf2l3xyxi5p0cavbj8.gif,OTT,senators,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/OTT.png,#C52032,#C2912C,https://i.imgur.com/3L9puXJ.png,#C52032,#C2912C,active
22,Philadelphia Flyers,#010101,http://content.sportslogos.net/logos/1/22/thumbs/161.gif,PHI,flyers,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/PHI.png,#F74902,#000000,https://i.imgur.com/QVg1nts.png,#000000,#F74902,active
23,Pittsburgh Penguins,#010101,http://content.sportslogos.net/logos/1/24/thumbs/2463622017.gif,PIT,penguins,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/PIT.png,#FCB514,#000000,https://logos-world.net/wp-content/uploads/2020/05/Pittsburgh-Penguins-Logo-1992-1999.png,#418FDE,#041E42,active
24,San Jose Sharks,#010101,http://content.sportslogos.net/logos/1/26/thumbs/dmo1xf3z4pph27vmg3gf.gif,SJS,sharks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/SJ.png,#006D75,#000000,https://i.imgur.com/tmLYTC4.png,#006D75,#000000,active
25,St Louis Blues,#041e42,http://content.sportslogos.net/logos/1/25/thumbs/187.gif,STL,blues,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/STL.png,#002F87,#FCB514,https://content.sportslogos.net/logos/1/25/full/st-louis-blues-logo-primary-2026-2533842026.png,#002F87,#FCB514,active
26,Tampa Bay Lightning,#00205b,http://content.sportslogos.net/logos/1/27/thumbs/97hhvk8e5if0riesnex30etgz.gif,TBL,lightning,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/TB.png,#002868,#FFFFFF,https://content.sportslogos.net/logos/1/27/full/tampa_bay_lightning_logo_primary_19939887.png,#002868,#A2AAAD,active
27,Toronto Maple Leafs,#00205b,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif,TOR,mapleleafs,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/TOR.png,#00205B,#FFFFFF,https://content.sportslogos.net/logos/1/997/full/280.png,#046A38,#FFFFFF,active
28,Vancouver Canucks,#00205b,http://content.sportslogos.net/logos/1/29/thumbs/2920842020.gif,VAN,canucks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/VAN.png,#00205B,#00843D,https://i.imgur.com/8zctEWi.png,#FFD100,#EF3340,active
29,Vegas Golden Knights,#010101,http://content.sportslogos.net/logos/1/6114/thumbs/611426842018.gif,VGK,goldenknights,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/VGK.png,#B4975A,#333F42,https://i.imgur.com/sCtaquO.png,#C8102E,#B4975A,active
30,Washington Capitals,#041e42,http://content.sportslogos.net/logos/1/30/thumbs/llrs2zxi127vkqgcsvfb.gif,WSH,capitals,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/WSH.png,#C8102E,#041E42,https://i.imgur.com/dQoOKkT.png,#236192,#AD7C59,active
31,Winnipeg Jets,#041e42,http://content.sportslogos.net/logos/1/3050/thumbs/z9qyy9xqoxfjn0njxgzoy2rwk.gif,WPG,jets,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/WPG.png,#041E42,#AC162C,https://i.imgur.com/IUMW64y.png,#041E42,#AC162C,active
32,Seattle Kraken,#001628,https://content.sportslogos.net/logos/1/6740/full/seattle_kraken_logo_primary_20226314.png,SEA,kraken,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/SEA.png,#99D9D9,#001628,https://content.sportslogos.net/logos/1/6740/full/5282_seattle_kraken-alternate-2022.png,#001628,#99D9D9,active
33,Utah Mammoth,#71AFE5,https://www.sportslogos.net/logos/view/694433562026/Utah-Mammoth-Logo/2026/Primary-Logo,UTA,mammoth,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/uta.png,#6CACE3,#FFFFFF,https://www.sportslogos.net/logos/view/694433562026/Utah-Mammoth-Logo/2026/Primary-Logo,#6CACE3,#FFFFFF,active
