"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"15","Calgary Flames","82","4007.65","41","27","14","36","96","0.585","4211","3927","51.74","2912","2743","51.49","1924","1851","50.97","140","142","49.65","162.61","162.04","50.09","1814","1779","50.49","912","910","50.05","115","124","48.12","12.61","86.37","682","712","48.92","424","441","49.02","69","76","47.59","16.27","82.77","1132","1067","51.48","488","469","50.99","46","48","48.94","9.43","89.77","2562","2422","51.40","904","833","52.04","25","18","58.14","2.77","97.84","7.28","92.33","0.996"
"16","Vancouver Canucks","82","3988.3833","38","30","14","35","90","0.549","3634","3771","49.07","2535","2688","48.54","1621","1695","48.88","151","162","48.24","152.81","155.8","49.52","1578","1610","49.50","791","798","49.78","125","125","50.00","15.80","84.34","634","682","48.18","393","405","49.25","75","76","49.67","19.08","81.23","944","928","50.43","398","393","50.32","50","49","50.51","12.56","87.53","2227","2305","49.14","735","795","48.04","26","37","41.27","3.54","95.35","9.32","90.44","0.998"
"17","Colorado Avalanche","82","4019.2667","49","29","4","45","102","0.622","4240","3596","54.11","2938","2511","53.92","1925","1668","53.58","165","155","51.56","171.32","155.66","52.40","1972","1615","54.98","978","850","53.50","140","132","51.47","14.31","84.47","735","683","51.83","455","432","51.30","78","92","45.88","17.14","78.70","1237","932","57.03","523","418","55.58","62","40","60.78","11.85","90.43","2462","2159","53.28","857","716","54.48","25","23","52.08","2.92","96.79","8.57","90.71","0.993"
"18","Vegas Golden Knights","82","4228.2667","50","22","10","49","110","0.671","4193","4000","51.18","3035","2828","51.77","2038","1780","53.38","184","155","54.28","186.4","168.4","52.54","1944","1768","52.37","1044","872","54.49","167","127","56.80","16.00","85.44","794","715","52.62","488","411","54.28","96","79","54.86","19.67","80.78","1150","1053","52.20","556","461","54.67","71","48","59.66","12.77","89.59","2499","2339","51.65","884","806","52.31","17","28","37.78","1.92","96.53","9.03","91.29","1.003"
"19","Los Angeles Kings","82","4022.9167","48","25","9","47","105","0.640","4151","3644","53.25","2958","2537","53.83","1864","1633","53.30","177","125","58.61","173.4","145.61","54.36","1826","1589","53.47","879","797","52.45","150","100","60.00","17.06","87.45","782","624","55.62","449","389","53.58","92","63","59.35","20.49","83.80","1044","965","51.97","430","408","51.31","58","37","61.05","13.49","90.93","2450","2145","53.32","882","729","54.75","27","25","51.92","3.06","96.57","9.50","92.35","1.018"
"20","Ottawa Senators","82","3916.3333","45","30","7","44","97","0.591","3819","3807","50.08","2715","2667","50.45","1825","1809","50.22","139","157","46.96","154.15","157.97","49.39","1691","1672","50.28","889","884","50.14","122","133","47.84","13.72","84.95","661","664","49.89","426","439","49.25","70","81","46.36","16.43","81.55","1030","1008","50.54","463","445","50.99","52","52","50.00","11.23","88.31","2273","2302","49.68","836","814","50.67","17","24","41.46","2.03","97.05","7.62","91.32","0.989"
"21","Detroit Red Wings","82","4094.65","39","35","8","36","86","0.524","3737","4050","47.99","2670","2897","47.96","1746","1880","48.15","143","162","46.89","163.91","175.79","48.25","1660","1805","47.91","877","903","49.27","121","129","48.40","13.80","85.71","654","756","46.38","415","446","48.20","70","81","46.36","16.87","81.84","1006","1049","48.95","462","457","50.27","51","48","51.52","11.04","89.50","2247","2493","47.41","755","881","46.15","22","33","40.00","2.91","96.25","8.19","91.38","0.996"
"22","New York Islanders","82","4091.1667","35","35","12","33","82","0.500","4079","4090","49.93","2922","2852","50.61","1903","1850","50.71","162","161","50.15","176.09","170.09","50.87","1858","1839","50.26","969","928","51.08","140","131","51.66","14.45","85.88","767","751","50.53","464","461","50.16","89","80","52.66","19.18","82.65","1091","1088","50.07","505","467","51.95","51","51","50.00","10.10","89.08","2397","2333","50.68","824","830","49.82","22","30","42.31","2.67","96.39","8.51","91.30","0.998"
"23","Dallas Stars","82","3976.6","50","26","6","48","106","0.646","3879","3951","49.54","2703","2880","48.41","1798","1898","48.65","181","155","53.87","177.42","176.67","50.11","1841","1801","50.55","971","910","51.62","154","133","53.66","15.86","85.38","768","728","51.34","503","442","53.23","104","92","53.06","20.68","79.19","1073","1073","50.00","468","468","50.00","50","41","54.95","10.68","91.24","2301","2358","49.39","738","877","45.70","27","22","55.10","3.66","97.49","10.07","91.83","1.019"
"24","Nashville Predators","82","3968.2833","30","44","8","28","68","0.415","3890","3798","50.60","2738","2751","49.88","1833","1876","49.42","130","190","40.63","168.84","166.95","50.28","1797","1786","50.15","886","943","48.44","106","153","40.93","11.96","83.78","747","719","50.95","443","458","49.17","74","78","48.68","16.70","82.97","1050","1067","49.60","443","485","47.74","32","75","29.91","7.22","84.54","2295","2210","50.94","863","842","50.62","24","37","39.34","2.78","95.61","7.09","89.87","0.970"
"25","Columbus Blue Jackets","82","4114.65","40","33","9","34","89","0.543","4009","4241","48.59","2847","2984","48.83","1913","1946","49.57","201","179","52.89","178.23","186.14","48.91","1743","1919","47.60","938","1001","48.38","165","143","53.57","17.59","85.71","759","796","48.81","503","519","49.22","105","84","55.56","20.87","83.82","984","1123","46.70","435","482","47.44","60","59","50.42","13.79","87.76","2345","2513","48.27","850","861","49.68","36","36","50.00","4.24","95.82","10.51","90.80","1.013"
"26","Minnesota Wild","82","4094.6833","45","30","7","42","97","0.591","3788","4142","47.77","2707","2900","48.28","1792","1894","48.62","141","148","48.79","153.8","157.84","49.35","1634","1732","48.54","823","884","48.21","110","124","47.01","13.37","85.97","667","657","50.38","405","417","49.27","58","77","42.96","14.32","81.53","967","1075","47.36","418","467","47.23","52","47","52.53","12.44","89.94","2263","2639","46.16","883","917","49.06","30","23","56.60","3.40","97.49","7.87","92.19","1.001"
"27","San Jose Sharks","82","3979.55","20","50","12","18","52","0.317","3635","4346","45.55","2563","3062","45.56","1724","2028","45.95","143","203","41.33","147.63","188.23","43.96","1609","2020","44.34","815","1057","43.54","113","172","39.65","13.87","83.73","633","791","44.45","376","505","42.68","57","90","38.78","15.16","82.18","976","1229","44.26","439","552","44.30","56","82","40.58","12.76","85.14","2147","2534","45.87","798","884","47.44","30","30","50.00","3.76","96.61","8.29","89.99","0.983"
"28","Tampa Bay Lightning","82","4053.4667","47","27","8","45","102","0.622","3899","3839","50.39","2788","2763","50.23","1826","1881","49.26","186","144","56.36","170.96","164.89","50.90","1827","1715","51.58","991","953","50.98","155","119","56.57","15.64","87.51","766","659","53.75","505","445","53.16","98","63","60.87","19.41","85.84","1061","1056","50.12","486","508","48.89","57","56","50.44","11.73","88.98","2273","2384","48.81","746","826","47.46","31","24","56.36","4.16","97.09","10.19","92.34","1.025"
"29","Carolina Hurricanes","82","3951.8833","47","30","5","47","99","0.604","4665","3223","59.14","3277","2389","57.84","2017","1604","55.70","176","167","51.31","199.56","157.22","55.93","2117","1591","57.09","1037","884","53.98","143","139","50.71","13.79","84.28","833","725","53.47","513","477","51.82","94","84","52.81","18.32","82.39","1284","866","59.72","524","407","56.28","49","55","47.12","9.35","86.49","2829","1791","61.23","897","620","59.13","33","28","54.10","3.68","95.48","8.73","89.59","0.983"
"30","Philadelphia Flyers","82","4071.4","33","39","10","27","76","0.463","3705","4021","47.95","2698","2693","50.05","1787","1765","50.31","166","195","45.98","168.66","156.87","51.81","1706","1814","48.47","935","882","51.46","133","160","45.39","14.22","81.86","717","647","52.57","478","413","53.65","87","88","49.71","18.20","78.69","989","1167","45.87","457","469","49.35","46","72","38.98","10.07","84.65","2182","2337","48.29","769","774","49.84","33","35","48.53","4.29","95.48","9.29","88.95","0.982"
"31","Washington Capitals","82","4013.85","51","22","9","49","111","0.677","3943","3857","50.55","2816","2670","51.33","1786","1718","50.97","190","159","54.44","178.28","170.29","51.15","1874","1718","52.17","928","861","51.87","159","132","54.64","17.13","84.67","769","701","52.31","473","436","52.04","101","92","52.33","21.35","78.90","1105","1017","52.07","455","425","51.70","58","40","59.18","12.75","90.59","2263","2258","50.06","766","771","49.84","31","27","53.45","4.05","96.50","10.64","90.75","1.014"
"32","Anaheim Ducks","82","3969.3667","35","37","10","31","80","0.488","3772","4445","45.90","2709","3194","45.89","1772","2064","46.19","156","164","48.75","161.06","196.05","45.10","1668","2073","44.59","877","1045","45.63","125","145","46.30","14.25","86.12","669","847","44.13","417","534","43.85","84","97","46.41","20.14","81.84","999","1226","44.90","460","511","47.37","41","48","46.07","8.91","90.61","2123","2665","44.34","786","942","45.49","31","19","62.00","3.94","97.98","8.80","92.05","1.009"
