GP,Date,HomeAway,Opponent,GF,GA,Result,OT,W,L,OL,Streak,Att.,LOG,Season
55,2/27/2022,@,San Jose Sharks,1,3,L,,16,34,5,L 7,13171,2:28,22
56,3/2/2022,,Nashville Predators,4,3,W,,17,34,5,W 1,17151,2:28,22
57,3/5/2022,@,Washington Capitals,2,5,L,,17,35,5,L 1,18573,2:25,22
58,3/6/2022,@,Carolina Hurricanes,2,3,L,,17,36,5,L 2,18156,2:33,22
59,3/8/2022,@,Toronto Maple Leafs,4,6,L,,17,37,5,L 3,17547,2:30,22
60,3/10/2022,@,Ottawa Senators,3,4,L,OT,17,37,6,L 4,11622,2:29,22
61,3/12/2022,@,Montreal Canadiens,4,3,W,SO,18,37,6,W 1,20608,2:51,22
62,3/16/2022,,Tampa Bay Lightning,1,4,L,,18,38,6,L 1,17151,2:27,22
63,3/19/2022,,Detroit Red Wings,4,2,W,,19,38,6,W 1,17151,2:30,22
64,3/22/2022,@,Arizona Coyotes,4,2,W,,20,38,6,W 2,11670,2:19,22
65,3/26/2022,@,Los Angeles Kings,2,4,L,,20,39,6,L 1,18230,2:20,22
66,3/28/2022,@,Los Angeles Kings,6,1,W,,21,39,6,W 1,13919,2:30,22
67,3/30/2022,,Vegas Golden Knights,0,3,L,,21,40,6,L 1,17151,2:19,22
68,4/1/2022,,Vegas Golden Knights,2,5,L,,21,41,6,L 2,17151,2:29,22
69,4/3/2022,,Dallas Stars,4,1,W,,22,41,6,W 1,17151,2:27,22
70,4/6/2022,@,St. Louis Blues,1,4,L,,22,42,6,L 1,18096,2:21,22
71,4/7/2022,@,Chicago Blackhawks,2,0,W,,23,42,6,W 1,18677,2:16,22
72,4/9/2022,,Calgary Flames,1,4,L,,23,43,6,L 1,17151,2:24,22
73,4/12/2022,@,Calgary Flames,3,5,L,,23,44,6,L 2,16392,2:28,22
74,4/16/2022,,New Jersey Devils,4,3,W,SO,24,44,6,W 1,17151,2:40,22
75,4/18/2022,,Ottawa Senators,4,2,W,,25,44,6,W 2,17151,2:31,22
76,4/20/2022,,Colorado Avalanche,3,2,W,,26,44,6,W 3,17151,2:17,22
77,4/22/2022,@,Minnesota Wild,3,6,L,,26,45,6,L 1,19047,2:26,22
78,4/23/2022,@,Dallas Stars,2,3,L,,26,46,6,L 2,18532,2:29,22
79,4/26/2022,@,Vancouver Canucks,2,5,L,,26,47,6,L 3,18261,2:21,22
80,4/27/2022,,Los Angeles Kings,3,5,L,,26,48,6,L 4,17151,2:27,22
81,4/29/2022,,San Jose Sharks,3,0,W,,27,48,6,W 1,17151,2:16,22
82,5/1/2022,@,Winnipeg Jets,3,4,L,,27,49,6,L 1,14443,2:10,22
