"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"41","Elvis Merzlikins","CBJ","G","53","3170.9166666667","3014","3324","47.55","2184","2331","48.37","1481","1557","48.75","174","168","50.88","151.05","156.78","49.07","1351","1532","46.86","575","645","47.13","87","78","52.73","776","887","46.66","48","55","46.60","1756","1990","46.88","33","35","48.53","11.75","89.21","1.010","17","184","2","0","89.47","934","938","1076","46.47"
"105","Jaxson Stauber","UTA","G","6","313.18333333333","297","328","47.52","208","232","47.27","139","158","46.80","16","17","48.48","13.14","15.88","45.27","141","161","46.69","43","65","39.81","8","7","53.33","98","96","50.52","4","8","33.33","164","201","44.93","4","2","66.67","11.51","89.24","1.008","4","18","0","0","100.00","94","85","107","46.77"
"10","Cam Talbot","DET","G","47","2642.1666666667","2447","2709","47.46","1780","1946","47.77","1210","1296","48.28","126","129","49.41","130.59","130.53","50.01","1167","1250","48.28","452","517","46.65","51","65","43.97","715","733","49.38","49","41","54.44","1421","1676","45.88","25","23","52.08","10.41","90.05","1.005","19","155","0","0","100.00","839","710","916","47.81"
"61","Joseph Woll","TOR","G","42","2442.3333333333","2300","2558","47.34","1706","1832","48.22","1138","1216","48.34","132","111","54.32","122.2","121.74","50.09","1068","1178","47.55","449","470","48.86","61","57","51.69","619","708","46.65","47","29","61.84","1402","1556","47.40","19","25","43.18","11.60","90.87","1.025","13","146","0","0","100.00","735","685","828","47.02"
"70","Jeremy Swayman","BOS","G","58","3390.5833333333","3020","3373","47.24","2190","2445","47.25","1455","1629","47.18","150","176","46.01","155.51","160.63","49.19","1420","1584","47.27","570","641","47.07","79","85","48.17","850","943","47.41","44","73","37.61","1796","2095","46.16","22","18","55.00","10.31","89.20","0.995","21","200","4","0","84.00","1032","947","1251","45.20"
"100","Jesper Wallstedt","MIN","G","2","117.43333333333","102","114","47.22","68","79","46.26","41","51","44.57","2","8","20.00","4.52","4.61","49.47","48","44","52.17","20","18","52.63","1","3","25.00","28","26","51.85","0","4","0.00","52","83","38.52","1","1","50.00","4.88","84.31","0.892","1","6","0","0","100.00","29","37","47","38.16"
"92","Drew Commesso","CHI","G","2","71.35","65","73","47.10","44","47","48.35","27","26","50.94","3","4","42.86","2.72","3.7","42.33","36","37","49.32","14","15","48.28","1","3","25.00","22","22","50.00","1","1","50.00","28","43","39.44","1","0","100.00","11.11","84.62","0.957","0","4","1","0","0.00","15","17","24","38.46"
"82","Samuel Ersson","PHI","G","47","2601.7833333333","2313","2606","47.02","1705","1759","49.22","1124","1162","49.17","121","136","47.08","122.35","113.01","51.98","1115","1220","47.75","450","423","51.55","62","62","50.00","665","797","45.49","35","47","42.68","1354","1551","46.61","22","27","44.90","10.77","88.30","0.991","15","154","0","1","100.00","767","716","826","48.15"
"78","Joel Hofer","STL","G","31","1678.8166666667","1425","1608","46.98","1011","1140","47.00","708","767","48.00","88","74","54.32","72.3","68.62","51.31","717","717","50.00","279","273","50.54","40","35","53.33","438","444","49.66","31","30","50.82","823","990","45.39","14","9","60.87","12.43","90.35","1.028","5","102","1","0","83.33","468","484","604","43.66"
"18","Petr Mrazek","DET","G","5","240.58333333333","222","251","46.93","176","167","51.31","105","102","50.72","13","10","56.52","13.64","9.98","57.75","111","119","48.26","57","42","57.58","8","5","61.54","54","77","41.22","5","3","62.50","119","155","43.43","0","2","0.00","12.38","90.20","1.026","0","14","0","0","-","66","69","75","46.81"
"91","Nico Daws","N.J","G","6","262.85","237","269","46.84","169","194","46.56","118","114","50.86","14","7","66.67","10.49","12.26","46.11","110","132","45.45","42","46","47.73","6","2","75.00","68","86","44.16","5","4","55.56","130","169","43.48","3","1","75.00","11.86","93.86","1.057","4","16","0","0","100.00","70","81","87","44.59"
"22","John Gibson","ANA","G","29","1562.15","1490","1696","46.77","1098","1210","47.57","733","812","47.44","66","72","47.83","75.99","81.2","48.34","682","801","45.99","282","327","46.31","39","45","46.43","400","474","45.77","15","20","42.86","830","1043","44.31","11","7","61.11","9.00","91.13","1.001","7","91","0","0","100.00","475","413","562","45.81"
